county,pct.enrolled
48001,0.750671682
48003,0.782637508
48005,0.806549424
48007,0.768048128
48009,0.845387614
48011,0.806761787
48013,0.832898172
48015,0.847852029
48017,0.780138568
48019,0.832898172
48021,0.852469532
48023,0.845387614
48025,0.768048128
48027,0.89245157
48029,0.867605969
48031,0.867753623
48033,0.784560144
48035,0.816138541
48037,0.816690442
48039,0.842351369
48041,0.855012854
48043,0.782637508
48045,0.806761787
48047,0.768907563
48049,0.8
48051,0.78258547
48053,0.893774489
48055,0.852469532
48057,0.870274914
48059,0.8
48061,0.714467977
48063,0.853707415
48065,0.806761787
48067,0.816690442
48069,0.806761787
48071,0.7541841
48073,0.794778385
48075,0.806761787
48077,0.845387614
48079,0.780138568
48081,0.784560144
48083,0.8
48085,0.924160222
48087,0.806761787
48089,0.847852029
48091,0.879310345
48093,0.8
48095,0.784560144
48097,0.851622311
48099,0.893774489
48101,0.845387614
48103,0.782637508
48105,0.784560144
48107,0.780138568
48109,0.782637508
48111,0.806761787
48113,0.804771491
48115,0.784560144
48117,0.806761787
48119,0.828650392
48121,0.901295109
48123,0.833815029
48125,0.780138568
48127,0.739214424
48129,0.806761787
48131,0.711132438
48133,0.8
48135,0.816211878
48137,0.739214424
48139,0.845027456
48141,0.79076634
48143,0.86152748
48145,0.816138541
48147,0.851622311
48149,0.852469532
48151,0.8
48153,0.780138568
48155,0.845387614
48157,0.900377517
48159,0.828650392
48161,0.816138541
48163,0.832898172
48165,0.782637508
48167,0.849662162
48169,0.780138568
48171,0.867753623
48173,0.784560144
48175,0.833815029
48177,0.833815029
48179,0.806761787
48181,0.851622311
48183,0.820186599
48185,0.78258547
48187,0.887761573
48189,0.780138568
48191,0.806761787
48193,0.893774489
48195,0.806761787
48197,0.845387614
48199,0.851034483
48201,0.811809292
48203,0.865072588
48205,0.806761787
48207,0.8
48209,0.877672209
48211,0.806761787
48213,0.750671682
48215,0.700330263
48217,0.816138541
48219,0.780138568
48221,0.86152748
48223,0.828650392
48225,0.726726727
48227,0.784560144
48229,0.782637508
48231,0.873162765
48233,0.806761787
48235,0.784560144
48237,0.845387614
48239,0.833815029
48241,0.836787565
48243,0.782637508
48245,0.781996086
48247,0.711132438
48249,0.768907563
48251,0.834873691
48253,0.8
48255,0.833815029
48257,0.847222222
48259,0.867753623
48261,0.768907563
48263,0.8
48265,0.867753623
48267,0.784560144
48269,0.780138568
48271,0.739214424
48273,0.768907563
48275,0.8
48277,0.828650392
48279,0.780138568
48281,0.893774489
48283,0.739214424
48285,0.833815029
48287,0.852469532
48289,0.78258547
48291,0.7541841
48293,0.816138541
48295,0.806761787
48297,0.711132438
48299,0.893774489
48301,0.782637508
48303,0.856060606
48305,0.780138568
48307,0.784560144
48309,0.856179775
48311,0.711132438
48313,0.78258547
48315,0.865072588
48317,0.784560144
48319,0.784560144
48321,0.847852029
48323,0.739214424
48325,0.832898172
48327,0.784560144
48329,0.840591619
48331,0.78258547
48333,0.893774489
48335,0.8
48337,0.845387614
48339,0.870194986
48341,0.806761787
48343,0.828650392
48345,0.780138568
48347,0.806549424
48349,0.816138541
48351,0.836787565
48353,0.8
48355,0.849494349
48357,0.806761787
48359,0.806761787
48361,0.851034483
48363,0.86152748
48365,0.794778385
48367,0.887565153
48369,0.806761787
48371,0.782637508
48373,0.726726727
48375,0.786080586
48377,0.782637508
48379,0.853707415
48381,0.898084815
48383,0.784560144
48385,0.739214424
48387,0.828650392
48389,0.782637508
48391,0.768048128
48393,0.806761787
48395,0.78258547
48397,0.873162765
48399,0.8
48401,0.794778385
48403,0.836787565
48405,0.836787565
48407,0.726726727
48409,0.768048128
48411,0.893774489
48413,0.784560144
48415,0.8
48417,0.8
48419,0.836787565
48421,0.806761787
48423,0.826108871
48425,0.86152748
48427,0.711132438
48429,0.8
48431,0.784560144
48433,0.8
48435,0.784560144
48437,0.806761787
48439,0.846458067
48441,0.873291926
48443,0.782637508
48445,0.780138568
48447,0.8
48449,0.828650392
48451,0.829514207
48453,0.864536497
48455,0.726726727
48457,0.836787565
48459,0.865072588
48461,0.784560144
48463,0.739214424
48465,0.739214424
48467,0.853707415
48469,0.870274914
48471,0.726726727
48473,0.847852029
48475,0.782637508
48477,0.78258547
48479,0.705903399
48481,0.847852029
48483,0.806761787
48485,0.82946794
48487,0.845387614
48489,0.768907563
48491,0.907624633
48493,0.833815029
48495,0.782637508
48497,0.845387614
48499,0.853707415
48501,0.780138568
48503,0.845387614
48505,0.711132438
48507,0.739214424
